entity,count
Newcastle,166
Sarah,166
Ottawa,166
Alberta,165
Mark,165
Chris,165
Bulgaria,165
Bruce,165
Burton,164
Frank,164
the UK Singles Chart,164
Constantinople,164
Newfoundland,163
Stewart,163
Stevens,162
Arnold,160
Shaw,159
Sheffield,158
Warner Bros.,158
Howard,152
NCAA,152
Cooper,151
Charlie,151
Bell,149
Finn,149
Yankees,149
Kane,148
Tracy,148
Latin,147
Mitchell,142
Murphy,142
Constantine,137
Morrison,136
YouTube,135
Harry,134
Bermuda,132
Cyrus,132
Boeing,130
Selena,129
TNA,129
R & B,129
the Los Angeles Times,128
Perry,127
Phillies,126
Max,125
Oslo,125
Harris,125
Edge,124
SS,123
Apple,122
Darwin,121
Mint,121
Canucks,119
Bible,114
Swift,113
Hergé,110
Minogue,110
Madagascar,107
Amy,106
MLB,106
Mercedes,105
Lucas,105
Russell,103
The A.V. Club,100
Microsoft,98
AllMusic,92
Allmusic,82
Angelou,76
Bach,37
Metacritic,25
