noun,count
Islam,1086
Muslim,2531
Arab,2234
Indonesia,1768
Indians,2400
Church,1326
Catholic,2673
Protestant,1055
the Supreme Court,1355
Caribbean,1661
Jean,1253
Brazilian,1461
Mary,2740
Jack,3700
Wagner,1003
Labour,1100
Moscow,1557
Taylor,2661
Summer Olympics,1211
Beijing,1024
Olympic,2099
Olympics,1420
Barcelona,1245
Athens,1476
Sydney,2621
Manhattan,1409
Columbia,1211
New Jersey,3460
Ottawa,1132
Malaysia,1518
Portuguese,1859
RAF,1406
Portland,1716
Croatian,2299
JNA,1433
Croatia,2653
FBI,1820
Mars,1823
Thomas,2627
The A.V. Club,1058
Alice,1278
Israeli,1609
Harris,1113
Wilson,2540
four @-@,1068
Pakistan,1774
Vietnamese,1030
Poland,3813
Nintendo,3521
Games,1009
Commonwealth,1507
Parliament,4183
Newfoundland,1062
Iran,1331
Palestine,1020
Carter,1527
Celtic,1059
Kent,1344
Sweden,3304
Gibraltar,1287
Jordan,1398
Malta,1353
Serbia,1370
Bulgaria,1091
Hungarian,2341
Bulgarian,1128
Mediterranean,2230
Germans,4658
Constantinople,1374
Jamaica,1268
David,2164
Sarah,1189
Charlie,1091
Kurt,1020
Arsenal,1148
NHL,3603
Canucks,1078
Toronto,1837
Phoenix,1226
Carey,4073
Atlanta,1456
Philadelphia,3057
Ontario,1275
Brian,1359
Cleveland,2251
Kennedy,1987
AllMusic,1206
Rolling Stone,2587
Vancouver,1329
Manchester,2226
Serbian,1291
Venice,1037
Mint,1301
Native American,1004
Alabama,2375
South,1609
Johnson,6039
Douglas,1122
Jones,2640
B @-@,1311
Mitchell,1141
Australians,2741
NBC,2800
ABC,1784
Afghanistan,1455
Clinton,1613
Disney,2572
Catherine,1012
Yugoslavia,1328
YouTube,1699
Democrats,1668
Democratic,2310
James,3340
CBS,1373
Nielsen,2139
Louisiana,2027
Springfield,1089
Thompson,1704
Lee,2412
Frank,1393
West,3158
Wright,1629
Saxon,1109
Yorkshire,1318
Lewis,1841
Bennett,1047
Romanian,1088
Kelly,1383
Harry Potter,1018
Madonna,7489
Maryland,3300
Maine,1210
Adam,1113
Somerset,1900
Swiss,1259
Jr.,1085
Burton,1104
Edinburgh,1333
Amy,1163
Michael,4128
Welsh,2207
Fox,4276
Oklahoma,1464
Morrison,1283
Asian,1718
Anderson,2253
Lincoln,2634
Scottish,3942
Rangers,1016
Lisa,2253
Ross,1372
Montreal,1560
Dwight,1388
Jesus,1123
George,2245
Andy,1516
Maya,1460
Scots,1118
Anne,1268
Han,1242
Moore,2141
Star Trek,1361
Norman,1742
Gordon,1523
Ben,1227
Seattle,1731
Quebec,1260
Finn,1247
Joe,1421
Rachel,1469
Beyoncé,4220
Simpson,1209
Romania,1163
SS,1250
Chris,1331
Microsoft,1132
Hergé,1187
Tintin,1032
Simpsons,3286
Marge,1742
Bart,3229
White,2057
Newcastle,1077
Roberts,1002
Baltimore,1661
Delaware,1096
Pittsburgh,1009
Bell,1188
Muslims,1336
Byzantine,2663
Queen,1430
Parsons,1201
Liverpool,4309
Gaga,2499
San Diego,1087
Liz,1229
Ohio,3224
Howe,1368
M @-@,2498
Constantine,1186
Batman,2458
Marvel,1099
Birmingham,1363
Murray,1848
Obama,1355
Murphy,1331
Allen,1388
Indonesian,1518
Sherman,1069
Brown,4470
Apollo,1155
Nelson,2150
Fleming,1554
Bond,2774
Boeing,1298
Kepler,1205
Mulder,2120
Rihanna,2295
Chelsea,1542
Tom,1497
Dylan,1590
Max,1096
Walter,1402
Bradman,1934
Tech,1239
West Virginia,1174
Elizabeth,2167
Apple,1224
al @-@,1682
Scully,2932
Johnston,1103
Persian,1807
Shaw,1187
Perry,1169
Stewart,1204
Philip,1001
Oslo,1052
Bruce,1377
Maria,1001
Chamberlain,1194
Tamil,1849
Leslie,1446
Arthur,1194
Angelou,1451
Rhodes,1153
Mercedes,1153
Davis,2183
Edwards,1204
Bach,1350
Cyrus,1427
Stone,1081
Morris,1628
Olivia,1149
Kane,1253
Phillies,1166
Harry,1367
McCartney,1630
Lennon,2327
Nixon,1729
McKinley,1206
Romney,1055
Lucas,1098
Marshall,1203
Arnold,1059
Selena,1102
Clarke,1030
Orton,1076
Spears,2414
Aguilera,1013
Hubbard,1032
Minogue,1037
Lindwall,1094
